Designator,Mid X,Mid Y,Rotation,Layer
C10,4.0,-43.0,90.0,top
C11,47.845,-60.275,180.0,top
C12,60.75,-45.75,180.0,top
C13,48.75,-45.5,180.0,top
C14,53.0,-56.25,-90.0,top
C15,22.25,-54.75,90.0,top
C16,31.75,-51.0,-90.0,top
C18,33.5,-67.0,0.0,top
C19,45.0,-66.5,-90.0,top
C20,39.7,-49.25,0.0,top
C21,26.0,-61.75,0.0,top
C22,38.75,-17.0,90.0,top
C23,26.5,-17.25,90.0,top
C24,36.5,-17.0,90.0,top
C25,24.25,-17.25,90.0,top
C3,69.95,-15.25,0.0,top
C4,45.25,-50.75,-90.0,top
C5,5.25,-15.5,90.0,top
C6,24.25,-44.5,180.0,top
C7,53.0,-2.75,-90.0,top
C8,73.8,-15.25,0.0,top
C9,73.8,-17.5,0.0,top
D1,11.0,-45.25,0.0,top
D10,37.0,-39.25,90.0,top
D11,33.0,-39.25,90.0,top
D12,41.0,-39.25,90.0,top
D13,49.0,-39.25,90.0,top
D14,44.95,-39.25,90.0,top
D15,13.25,-15.75,90.0,top
D16,79.0,-16.0,90.0,top
D2,29.0,-39.25,90.0,top
D3,22.4,-3.6,0.0,top
D4,51.5,-60.25,0.0,top
D5,55.0,-60.25,0.0,top
D6,29.75,-56.5,0.0,top
D7,39.5,-65.5,-90.0,top
D8,39.5,-69.0,-90.0,top
D9,40.75,-56.0,180.0,top
J1,44.25,-5.0,180.0,top
J2,32.0,-5.25,180.0,top
J3,52.25,-67.25,0.0,top
J4,68.25,-67.0,0.0,top
J5,77.29,-53.475,0.0,top
J6,15.6,-5.6,180.0,top
L1,9.25,-55.25,0.0,top
Q1,35.3125,-59.55,180.0,top
Q10,45.0,-30.75,90.0,top
Q2,31.5,-59.75,-90.0,top
Q3,62.0,-18.5,0.0,top
Q4,62.0,-15.0,0.0,top
Q5,29.0,-30.75,90.0,top
Q6,37.0,-30.75,90.0,top
Q7,33.0,-30.75,90.0,top
Q8,41.0,-30.8125,90.0,top
Q9,49.0,-30.8125,90.0,top
R1,13.0,-63.0,0.0,top
R10,33.0,-54.25,180.0,top
R11,28.75,-59.75,90.0,top
R12,57.0,-45.75,0.0,top
R13,58.0,-48.75,-90.0,top
R14,51.75,-46.5,90.0,top
R15,56.0,-48.75,90.0,top
R16,39.5,-60.0,90.0,top
R17,48.75,-47.5,180.0,top
R18,39.75,-53.25,180.0,top
R19,22.4,-5.6,0.0,top
R2,47.845,-58.275,0.0,top
R20,17.0,-63.0,0.0,top
R21,29.0,-34.0,180.0,top
R22,32.25,-12.75,0.0,top
R23,37.0,-34.0,180.0,top
R24,59.0,-14.5,90.0,top
R25,39.75,-51.25,0.0,top
R26,67.25,-50.25,0.0,top
R27,67.25,-52.25,180.0,top
R28,66.0,-18.5,0.0,top
R29,66.0,-15.0,0.0,top
R3,51.25,-62.5,0.0,top
R30,55.0,-19.75,0.0,top
R31,33.0,-34.0,180.0,top
R32,29.0,-36.0,180.0,top
R33,37.0,-36.0,180.0,top
R34,33.0,-36.0,180.0,top
R35,26.25,-24.0,180.0,top
R36,34.25,-24.0,0.0,top
R37,30.25,-24.0,0.0,top
R38,41.0,-34.0,180.0,top
R39,49.0,-34.0,180.0,top
R4,53.75,-49.5,90.0,top
R40,45.0,-34.0,180.0,top
R41,41.0,-36.0,180.0,top
R42,49.0,-36.0,180.0,top
R43,45.0,-36.0,180.0,top
R44,38.5,-24.0,180.0,top
R45,46.5,-24.0,0.0,top
R46,42.5,-24.0,0.0,top
R47,44.35,-12.75,0.0,top
R5,29.5,-51.25,-90.0,top
R6,4.0,-46.75,90.0,top
R7,70.0,-17.5,0.0,top
R8,59.0,-18.5,90.0,top
R9,34.0,-51.25,90.0,top
RV1,62.05,-53.725,0.0,top
SW1,20.75,-13.75,0.0,top
SW2,49.0,-13.92,0.0,top
U1,22.75,-37.5,90.0,top
U2,49.095,-53.025,90.0,top
U3,57.75,-6.5,90.0,top
U4,66.0,-31.75,-90.0,top
U5,9.5,-31.0,90.0,top
U7,61.0,-48.75,0.0,top
U8,42.75,-19.0,90.0,top
U9,30.5,-19.0,90.0,top
